$G   S   H   Cp
1892.9676315551158 44.81615003318211 18116.41394356704 25.588316090215812
1848.116168079589 44.88674741688783 18142.005480409873 25.594766458743834
1803.194195531015 44.9571683529598 18167.603476008382 25.601231625660148
1758.2018898378724 45.027413878165135 18193.207955368147 25.6077301910409
1713.1394258971916 45.097485018220596 18218.81894256593 25.61424992600223
1668.0069775853945 45.167382788667965 18244.436461026537 25.6207955402715
1622.804717768881 45.237108194169195 18270.060533223146 25.627356699624215
1577.5328183144404 45.306662229518224 18295.691181006667 25.63394201333722
1532.191450099438 45.376045878651894 18321.32842520064 25.640548792944173
1486.7807830218183 45.44526011635526 18346.97228618962 25.647171337914187
1441.300986009922 45.51430590713608 18372.622783464543 25.653819501167163
1395.752227032099 45.58318420664591 18398.279936111023 25.660487096502038
1350.1346731061597 45.65189596028176 18423.94376225154 25.66716911678668
1304.4484903086461 45.72044210516424 18449.614279745234 25.673864732743823
1258.6938437839306 45.788823568614134 18475.291505582845 25.680584618385183
1212.8708977531367 45.85704126989185 18500.97545650236 25.687320673750946
1166.9798155229207 45.92509611844662 18526.666148295742 25.694068550546945
1121.0207594940734 45.99298901649718 18552.3635967465 25.700834812050743
1074.993891169978 46.060720857167325 18578.067816893563 25.707608782613534
1028.899371164924 46.12829252540678 18603.778823344906 25.714404118116363
982.7373592122531 46.19570489800253 18629.49663024922 25.721211899872287
936.5080141723857 46.262958844158675 18655.221251485156 25.72803331859177
890.2114940406915 46.33005522445046 18680.952700229667 25.734870643100294
843.8479559552335 46.39699489322879 18706.690989848317 25.741717383425566
797.4175562043763 46.46377869551088 18732.436132671573 25.748576720434357
750.9204502342634 46.53040747075465 18758.188141416314 25.755443921661936
704.3567926561774 46.596882049624355 18783.947027910428 25.762330169709458
657.7267372537566 46.66320325617903 18809.7128039074 25.76922960106458
611.0304369901073 46.729371907605355 18835.485480956195 25.776132938881346
564.2680440148071 46.7953888138652 18861.265070236102 25.783051235157473
517.4397096707675 46.86125477835503 18887.05158278594 25.789979919682082
470.5455845010072 46.92697059765578 18912.84502937973 25.796917479783588
423.585818255307 46.99253706140212 18938.64542044774 25.80386936042487
376.56055989675156 47.057954953621106 18964.452766577087 25.810820606420748
329.4699576081922 47.12322505055511 18990.267077628014 25.817801107041305
282.3141587985565 47.1883481235551 19016.088363849933 25.82478128369985
235.09331010912825 47.253324937071284 19041.9166350635 25.831768734860816
187.8075574196736 47.31815624969613 19067.75190104843 25.83877077267971
140.45704585449013 47.3828428134226 19093.59417122353 25.845775915513514
93.04191978837468 47.447385375398454 19119.443455323155 25.85279764734878
45.56232285247631 47.51178467598365 19145.2997625979 25.859822663369414
-1.9816020599138733 47.57604145048237 19171.163102484483 25.866859972484235
